Category: All categories

Time,Allergy: (United States),Peanuts: (United States)
2025-09-26T16:48:00-04:00,33,14
2025-09-26T16:56:00-04:00,32,12
2025-09-26T17:04:00-04:00,34,14
2025-09-26T17:12:00-04:00,34,13
2025-09-26T17:20:00-04:00,29,12
2025-09-26T17:28:00-04:00,28,11
2025-09-26T17:36:00-04:00,33,14
2025-09-26T17:44:00-04:00,31,15
2025-09-26T17:52:00-04:00,30,14
2025-09-26T18:00:00-04:00,27,17
2025-09-26T18:08:00-04:00,36,15
2025-09-26T18:16:00-04:00,31,15
2025-09-26T18:24:00-04:00,28,14
2025-09-26T18:32:00-04:00,34,15
2025-09-26T18:40:00-04:00,32,16
2025-09-26T18:48:00-04:00,29,13
2025-09-26T18:56:00-04:00,28,14
2025-09-26T19:04:00-04:00,30,12
2025-09-26T19:12:00-04:00,33,14
2025-09-26T19:20:00-04:00,32,13
2025-09-26T19:28:00-04:00,28,13
2025-09-26T19:36:00-04:00,29,14
2025-09-26T19:44:00-04:00,30,14
2025-09-26T19:52:00-04:00,32,14
2025-09-26T20:00:00-04:00,31,16
2025-09-26T20:08:00-04:00,31,12
2025-09-26T20:16:00-04:00,30,12
2025-09-26T20:24:00-04:00,30,13
2025-09-26T20:32:00-04:00,28,14
2025-09-26T20:40:00-04:00,28,15
2025-09-26T20:48:00-04:00,28,15
2025-09-26T20:56:00-04:00,27,15
2025-09-26T21:04:00-04:00,28,13
2025-09-26T21:12:00-04:00,35,13
2025-09-26T21:20:00-04:00,33,15
2025-09-26T21:28:00-04:00,34,15
2025-09-26T21:36:00-04:00,30,12
2025-09-26T21:44:00-04:00,34,16
2025-09-26T21:52:00-04:00,32,11
2025-09-26T22:00:00-04:00,30,14
2025-09-26T22:08:00-04:00,35,13
2025-09-26T22:16:00-04:00,31,15
2025-09-26T22:24:00-04:00,30,15
2025-09-26T22:32:00-04:00,31,13
2025-09-26T22:40:00-04:00,30,14
2025-09-26T22:48:00-04:00,28,12
2025-09-26T22:56:00-04:00,29,17
2025-09-26T23:04:00-04:00,31,11
2025-09-26T23:12:00-04:00,28,15
2025-09-26T23:20:00-04:00,28,16
2025-09-26T23:28:00-04:00,32,14
2025-09-26T23:36:00-04:00,30,12
2025-09-26T23:44:00-04:00,31,14
2025-09-26T23:52:00-04:00,32,10
2025-09-27T00:00:00-04:00,30,14
2025-09-27T00:08:00-04:00,31,15
2025-09-27T00:16:00-04:00,33,13
2025-09-27T00:24:00-04:00,30,10
2025-09-27T00:32:00-04:00,31,10
2025-09-27T00:40:00-04:00,35,10
2025-09-27T00:48:00-04:00,32,15
2025-09-27T00:56:00-04:00,37,11
2025-09-27T01:04:00-04:00,27,12
2025-09-27T01:12:00-04:00,33,10
2025-09-27T01:20:00-04:00,32,12
2025-09-27T01:28:00-04:00,36,10
2025-09-27T01:36:00-04:00,27,13
2025-09-27T01:44:00-04:00,33,12
2025-09-27T01:52:00-04:00,33,10
2025-09-27T02:00:00-04:00,33,13
2025-09-27T02:08:00-04:00,36,14
2025-09-27T02:16:00-04:00,35,13
2025-09-27T02:24:00-04:00,37,14
2025-09-27T02:32:00-04:00,32,11
2025-09-27T02:40:00-04:00,34,8
2025-09-27T02:48:00-04:00,28,11
2025-09-27T02:56:00-04:00,33,13
2025-09-27T03:04:00-04:00,37,8
2025-09-27T03:12:00-04:00,36,6
2025-09-27T03:20:00-04:00,42,12
2025-09-27T03:28:00-04:00,32,8
2025-09-27T03:36:00-04:00,36,8
2025-09-27T03:44:00-04:00,26,9
2025-09-27T03:52:00-04:00,30,7
2025-09-27T04:00:00-04:00,31,8
2025-09-27T04:08:00-04:00,39,0
2025-09-27T04:16:00-04:00,44,12
2025-09-27T04:24:00-04:00,33,18
2025-09-27T04:32:00-04:00,36,11
2025-09-27T04:40:00-04:00,36,9
2025-09-27T04:48:00-04:00,28,8
2025-09-27T04:56:00-04:00,65,9
2025-09-27T05:04:00-04:00,43,0
2025-09-27T05:12:00-04:00,100,0
2025-09-27T05:20:00-04:00,49,0
2025-09-27T05:28:00-04:00,34,8
2025-09-27T05:36:00-04:00,34,16
2025-09-27T05:44:00-04:00,33,0
2025-09-27T05:52:00-04:00,35,0
2025-09-27T06:00:00-04:00,31,10
2025-09-27T06:08:00-04:00,31,15
2025-09-27T06:16:00-04:00,33,8
2025-09-27T06:24:00-04:00,37,9
2025-09-27T06:32:00-04:00,34,11
2025-09-27T06:40:00-04:00,38,8
2025-09-27T06:48:00-04:00,32,11
2025-09-27T06:56:00-04:00,29,6
2025-09-27T07:04:00-04:00,36,9
2025-09-27T07:12:00-04:00,41,11
2025-09-27T07:20:00-04:00,30,12
2025-09-27T07:28:00-04:00,33,13
2025-09-27T07:36:00-04:00,37,12
2025-09-27T07:44:00-04:00,44,12
2025-09-27T07:52:00-04:00,37,10
2025-09-27T08:00:00-04:00,39,7
2025-09-27T08:08:00-04:00,37,10
2025-09-27T08:16:00-04:00,44,8
2025-09-27T08:24:00-04:00,38,11
2025-09-27T08:32:00-04:00,43,9
2025-09-27T08:40:00-04:00,44,11
2025-09-27T08:48:00-04:00,32,11
2025-09-27T08:56:00-04:00,43,12
2025-09-27T09:04:00-04:00,42,15
2025-09-27T09:12:00-04:00,41,13
